Nodes,Dimension,Size,Time
Nodes,Dimension,Size,Time
8,3,2.1379561618081664,5.3882598876953125e-05
8,3,2.463407800047077,6.604194641113281e-05
8,3,2.5924028769933907,4.38690185546875e-05
16,3,3.700661999876974,0.00017309188842773438
16,3,4.660015594433291,0.0001819133758544922
16,3,4.491793926176628,0.00017690658569335938
16,3,4.853229499853195,0.00017595291137695312
16,3,3.908225951272109,0.00017690658569335938
32,3,7.724737475688616,0.0004990100860595703
32,3,7.388769182951792,0.0005099773406982422
32,3,7.366179098576448,0.0005359649658203125
32,3,7.40811112844995,0.0005199909210205078
32,3,5.820267236881676,0.0005168914794921875
64,3,11.185781741849464,0.00174713134765625
64,3,11.84348381010243,0.0017371177673339844
64,3,10.973161993630375,0.0017380714416503906
64,3,11.152168450800886,0.0017659664154052734
64,3,10.97005422985362,0.0018360614776611328
128,3,17.982743058743168,0.0069348812103271484
128,3,18.14034688777023,0.006551027297973633
128,3,17.645833327781176,0.00721287727355957
128,3,17.764202486319327,0.006860017776489258
128,3,17.138973390292342,0.006571054458618164
256,3,27.361530748591235,0.025758028030395508
256,3,26.954601970929172,0.026582956314086914
256,3,27.917208746816414,0.025790929794311523
256,3,27.787284474638668,0.02973794937133789
256,3,27.472583255097412,0.025810956954956055
512,3,43.03326265065299,0.12727904319763184
512,3,44.13350790391973,0.12064099311828613
512,3,43.4326737330443,0.13004398345947266
512,3,43.21734442819887,0.12677597999572754
